Per match,Club,"Points
per match",Win,Draw,Loss
2.7,AC Monza (ITA),0.5,3,9,24
2.7,Real Valladolid (ESP),0.5,4,4,27
2.7,Al-Fayha FC (KSA),1.1,7,12,12
2.7,Mjøndalen IF (NOR/2),0.3,0,2,4
2.7,Shenzhen Peng City (CHN),0.9,3,2,7
2.7,Bryne FK (NOR),0.5,1,0,5
2.7,CS Emelec (ECU),1.1,3,4,5
2.7,Gimnasia La Plata (ARG),1.0,4,4,8
2.7,San Martín San Juan (ARG),0.6,2,3,11
2.7,FF Jaro (FIN),1.0,2,0,4
2.6,HNK Gorica (CRO),1.1,9,10,15
2.6,PFK Hebar (BUL),0.5,3,9,22
2.6,FK Krumovgrad (BUL),1.0,8,9,17
2.6,Hellas Verona (ITA),0.9,9,6,21
2.6,RCD Espanyol (ESP),1.1,10,9,16
2.6,AVS Futebol (POR),0.8,5,12,16
2.6,Panetolikos FC (GRE),1.2,10,9,14
2.6,Enosis (CYP),1.1,10,5,18
2.6,Llaneros FC (COL),0.9,5,2,11
2.6,Houston Dynamo (USA),0.8,2,4,6
2.6,Deportivo Ñublense (CHI),1.1,2,5,3
2.6,Yaracuyanos FC (VEN),0.6,1,5,7
2.5,České Budějovice (CZE),0.2,0,6,27
2.5,Racing de Ferrol (ESP/2),0.7,5,12,22
2.5,Wellington Phoenix (AUS),0.9,6,6,14
2.5,KFUM Oslo (NOR),0.7,1,1,4
2.5,CD Godoy Cruz (ARG),1.1,3,8,5
2.4,PAS Lamia (GRE),0.6,4,8,21
2.4,FK Haugesund (NOR),0.1,0,1,6
2.4,Vélez Sarsfield (ARG),0.9,4,2,10
2.4,CD Riestra (ARG),1.4,5,9,3
2.4,Shurtan Guzar (UZB),0.2,0,2,7
2.3,FK Pari NN (RUS),0.8,6,5,16
2.3,Livyi Bereh (UKR),0.8,6,5,16
2.3,Yokohama FC (JPN),1.0,4,3,8
2.3,Al-Urooba Club (UAE),0.4,3,1,19
2.2,Östers IF (SWE),0.4,1,0,7
2.1,Envigado FC (COL),1.0,5,3,10
2.0,FK Fakel (RUS),0.6,2,10,16
2.0,Umea FC (SWE/2),0.1,0,1,6
