Per match,Club,"Points
per match",Win,Draw,Loss
8.2,Paris St-Germain (FRA),2.5,25,6,2
7.9,Bayern München (GER),2.4,24,7,2
6.6,FC Barcelona (ESP),2.3,26,4,5
6.2,Real Madrid (ESP),2.1,23,6,6
6.0,Liverpool FC (ENG),2.3,25,8,3
5.8,Olympique Marseille (FRA),1.9,19,5,9
5.7,Chelsea FC (ENG),1.8,18,9,9
5.6,Bayer Leverkusen (GER),2.1,19,11,3
5.5,Manchester City (ENG),1.8,19,8,9
5.5,AS Monaco (FRA),1.9,18,7,8
5.4,Olympique Lyonnais (FRA),1.6,16,6,11
5.4,OGC Nice (FRA),1.7,16,9,8
5.3,VfB Stuttgart (GER),1.4,13,8,12
5.2,Eintracht Frankfurt (GER),1.7,16,9,8
5.1,Bournemouth AFC (ENG),1.5,14,11,11
5.1,SS Lazio (ITA),1.8,18,10,8
4.9,Tottenham Hotspur (ENG),1.1,11,5,20
4.9,Borussia Dortmund (GER),1.6,16,6,11
4.9,Milan AC (ITA),1.7,17,9,10
4.9,Internazionale (ITA),2.1,23,8,5
4.9,Atalanta BC (ITA),1.9,20,8,7
4.8,Borussia M'gladbach (GER),1.4,13,6,14
4.8,Stade Rennais (FRA),1.2,13,2,18
4.8,LOSC Lille (FRA),1.7,16,9,8
4.8,Stade Brestois (FRA),1.5,15,5,13
4.8,Real Betis (ESP),1.7,16,10,9
4.7,Villarreal CF (ESP),1.7,17,10,8
4.6,Arsenal FC (ENG),1.9,18,14,4
4.6,Brighton & Hove (ENG),1.5,14,13,9
4.6,Brentford FC (ENG),1.5,16,7,13
4.6,TSG Hoffenheim (GER),1.0,7,11,15
4.6,Juventus FC (ITA),1.8,16,16,4
4.6,Como 1907 (ITA),1.3,13,9,14
4.6,Celta Vigo (ESP),1.4,14,7,14
4.5,Fulham FC (ENG),1.4,14,9,13
4.5,Crystal Palace (ENG),1.4,12,13,11
4.5,Bologna FC (ITA),1.7,16,14,6
4.4,Manchester United (ENG),1.1,10,9,17
4.4,Nottingham Forest (ENG),1.7,18,8,10
4.4,RB Leipzig (GER),1.6,13,12,8
4.4,AJ Auxerre (FRA),1.3,11,9,13
