club,elo_sum,rank,sum,순위,max_capacity
Barcelona,1163314.68,1,230412.5,6,99354
Real Madrid,1160179.2,2,200725.0,10,85454
Chelsea,1114090.14,5,391000.0,1,41631
Liverpool,1111031.43,6,161900.0,15,53394
Arsenal,1109666.85,7,205952.5,8,59867
Juventus,1098657.91,8,259485.0,2,41507
Inter,1069772.61,11,229755.0,7,9400
Valencia,1066866.11,12,97202.5,31,55000
Sevilla,1061468.36,16,123442.5,24,42982
Tottenham,1056423.54,18,202872.5,9,90652
Roma,1052014.92,19,267.5,1004,70634
Benfica,1036963.64,23,143735.0,17,66147
Everton,1025266.27,26,118107.5,27,39595
Lazio,1023080.28,28,67977.5,54,70634
Ajax,1018915.96,29,75165.0,45,55134
Marseille,1009494.43,34,125975.0,21,67394
Werder Bremen,1007870.6,35,29955.0,97,42354
Wolfsburg,1004413.51,39,147.5,1241,30122
Monaco,1002481.84,40,144162.5,16,18523
Aston Villa,996977.55,42,129425.0,20,42682
Stuttgart,995950.61,43,575.0,751,60441
West Ham,994625.39,44,122657.5,26,60000
Osasuna,994065.52,45,305.0,948,18375
Zenit,990404.91,46,282.5,980,68134
Levante,976805.94,54,11855.0,176,26354
Udinese,974073.64,56,51897.5,63,25144
Fulham,971547.43,58,75175.0,44,25700
Galatasaray,970955.07,59,93842.5,32,52695
Anderlecht,967720.14,62,215.0,1079,28063
Celtic,966708.4,63,29295.0,98,60832
Feyenoord,963813.29,65,36987.5,78,51117
Club Brugge,963661.2,67,38545.0,76,29022
Fiorentina,959683.94,68,135850.0,19,47300
Sampdoria,949470.04,81,57020.0,59,36348
Lens,946082.68,85,30257.5,95,38223
Panathinaikos,944929.18,87,18307.5,134,69618
Montpellier,944850.06,88,18085.0,135,32939
Middlesbrough,942080.61,89,16557.5,143,33746
Crystal Palace,939863.7,91,68512.5,53,25456
Burnley,925363.35,100,42057.5,73,21944
PAOK,916644.15,104,20.0,2199,28701
Standard,915676.17,105,142.5,1253,30023
Trabzonspor,915052.4,107,35252.5,82,41461
Rosenborg,904570.03,113,1507.5,490,21366
Toulouse,901962.14,115,17620.0,138,33300
Utrecht,895703.67,120,312.5,940,24426
Southampton,892631.44,123,80817.5,41,32384
Legia,888772.21,124,10.0,2524,30967
Midtjylland,885138.07,129,62.5,1628,11535
Twente,881327.19,130,13707.5,159,30205
Parma,876882.05,133,35117.5,83,21473
Vitesse,866035.72,137,12625.0,166,21248
Elfsborg,840424.93,150,787.5,635,16284
AIK,821891.29,159,1849.0,449,54329
Derby,818402.69,160,4100.0,301,33597
Viking,805865.13,167,512.5,790,15300
Gaziantepspor,796642.21,168,1475.0,493,35574
Sunderland,796009.63,169,14150.0,156,48707
Rangers,793730.63,171,24092.6,108,50817
QPR,774916.36,180,9245.0,196,18000
Reading,770692.07,184,6807.5,231,24161
Brann,766132.71,187,445.0,844,17686
Hearts,753643.2,192,60.0,1644,20099
Preston,742638.84,199,4615.0,284,23404
CFR Cluj,741062.91,201,730.0,665,23500
Hibernian,735007.6,206,5324.5,261,20421
Hoffenheim,708966.06,213,52.5,1720,30164
Willem II,703354.79,219,10.0,2524,14637
Panionios,683724.73,229,1412.5,500,11115
Kayserispor,681837.18,230,5956.0,248,32864
Boavista,675365.83,234,7077.5,225,28263
Belenenses,672823.64,235,1340.0,510,19980
Rio Ave,670208.52,237,10655.0,184,12820
Hammarby,665846.32,238,745.0,657,33000
Sivasspor,658045.49,243,6935.0,228,27532
Konyaspor,653532.78,246,9252.5,195,41981
Antalyaspor,642710.84,248,8362.5,206,32539
Heracles,636858.55,251,5.0,2792,13500
Nacional,633430.7,252,4355.0,291,26500
Cercle Brugge,630633.59,257,7972.5,212,29022
Millwall,628215.93,259,3900.0,306,20146
Dundee United,627895.5,260,2080.0,424,14209
Cracovia,623092.5,266,322.5,926,14572
Reggina,617275.11,272,2285.0,401,27713
Wigan,606688.91,280,5872.5,250,25138
Bursaspor,603756.73,282,2947.5,351,43877
Jagiellonia,569077.7,304,537.5,780,22386
Bristol City,553984.59,313,4022.5,302,27699
Gil Vicente,550877.86,316,5550.0,259,12504
Ternana,521967.53,328,1687.5,464,22000
Hansa Rostock,511396.76,334,780.0,639,29000
Portsmouth,481288.28,348,845.0,609,20821
LASK,449786.75,365,2222.5,408,7870
Iraklis,448360.67,366,402.5,866,28028
RB Leipzig,443288.23,367,123995.0,23,44345
Start,428530.81,371,90.0,1440,10000
Leiria,401130.77,386,332.5,920,23850
Pandurii,400290.27,387,60.0,1644,9200
Ross County,348951.72,421,2070.0,425,6310
Triestina,316283.15,435,300.0,957,28565
Kuban,314186.39,437,150.0,1225,31654
Samsunspor,295461.34,451,5797.5,253,33919
Ergotelis,291016.96,455,335.0,915,25780
Holstein Kiel,276489.03,473,4120.0,299,10200
Portimonense,274362.37,477,5687.5,257,6204
GAIS,272551.57,478,10.0,2524,43200
Go Ahead Eagles,226190.32,517,2757.5,367,10400
