club,elo_sum,rank,sum,순위,max_capacity,elo,country
Barcelona,1163314.68,1,230412.5,6,99354,1920.57,ESP
Real Madrid,1160179.2,2,200725.0,10,85454,1969.61,ESP
Chelsea,1114090.14,5,391000.0,1,41631,1835.33,ENG
Liverpool,1111031.43,6,161900.0,15,53394,2004.54,ENG
Arsenal,1109666.85,7,205952.5,8,59867,1979.18,ENG
Juventus,1098657.91,8,259485.0,2,41507,1832.1,ITA
Inter,1069772.61,11,229755.0,7,9400,1947.28,ITA
Valencia,1066866.11,12,97202.5,31,55000,1642.1,ESP
Sevilla,1061468.36,16,123442.5,24,42982,1677.95,ESP
Tottenham,1056423.54,18,202872.5,9,90652,1790.23,ENG
Roma,1052014.92,19,267.5,1004,70634,1784.23,ITA
Benfica,1036963.64,23,143735.0,17,66147,1784.35,POR
Everton,1025266.27,26,118107.5,27,39595,1740.51,ENG
Lazio,1023080.28,28,67977.5,54,70634,1783.42,ITA
Ajax,1018915.96,29,75165.0,45,55134,1725.62,NED
Marseille,1009494.43,34,125975.0,21,67394,1746.62,FRA
Werder Bremen,1007870.6,35,29955.0,97,42354,1625.98,GER
Wolfsburg,1004413.51,39,147.5,1241,30122,1681.99,GER
Monaco,1002481.84,40,144162.5,16,18523,1747.82,FRA
Aston Villa,996977.55,42,129425.0,20,42682,1783.92,ENG
Stuttgart,995950.61,43,575.0,751,60441,1725.67,GER
West Ham,994625.39,44,122657.5,26,60000,1731.25,ENG
Osasuna,994065.52,45,305.0,948,18375,1674.67,ESP
Zenit,990404.91,46,282.5,980,68134,1634.92,RUS
Levante,976805.94,54,11855.0,176,26354,1572.13,ESP
Udinese,974073.64,56,51897.5,63,25144,1666.55,ITA
Fulham,971547.43,58,75175.0,44,25700,1765.68,ENG
Galatasaray,970955.07,59,93842.5,32,52695,1680.61,TUR
Anderlecht,967720.14,62,215.0,1079,28063,1605.84,BEL
Celtic,966708.4,63,29295.0,98,60832,1675.35,SCO
Feyenoord,963813.29,65,36987.5,78,51117,1759.73,NED
Club Brugge,963661.2,67,38545.0,76,29022,1734.02,BEL
Fiorentina,959683.94,68,135850.0,19,47300,1745.56,ITA
Sampdoria,949470.04,81,57020.0,59,36348,1450.91,ITA
Lens,946082.68,85,30257.5,95,38223,1672.38,FRA
Panathinaikos,944929.18,87,18307.5,134,69618,1535.33,GRE
Montpellier,944850.06,88,18085.0,135,32939,1552.89,FRA
Middlesbrough,942080.61,89,16557.5,143,33746,1517.65,ENG
Crystal Palace,939863.7,91,68512.5,53,25456,1793.05,ENG
Burnley,925363.35,100,42057.5,73,21944,1661.0,ENG
PAOK,916644.15,104,20.0,2199,28701,1546.28,GRE
Standard,915676.17,105,142.5,1253,30023,1474.11,BEL
Trabzonspor,915052.4,107,35252.5,82,41461,1469.02,TUR
Rosenborg,904570.03,113,1507.5,490,21366,1460.01,NOR
Toulouse,901962.14,115,17620.0,138,33300,1654.32,FRA
Utrecht,895703.67,120,312.5,940,24426,1581.69,NED
Southampton,892631.44,123,80817.5,41,32384,1537.95,ENG
Legia,888772.21,124,10.0,2524,30967,1491.75,POL
Midtjylland,885138.07,129,62.5,1628,11535,1564.57,DEN
Twente,881327.19,130,13707.5,159,30205,1627.71,NED
Parma,876882.05,133,35117.5,83,21473,1567.94,ITA
Vitesse,866035.72,137,12625.0,166,21248,1363.62,NED
Elfsborg,840424.93,150,787.5,635,16284,1505.1,SWE
AIK,821891.29,159,1849.0,449,54329,1432.07,SWE
Derby,818402.69,160,4100.0,301,33597,1375.62,ENG
Viking,805865.13,167,512.5,790,15300,1484.42,NOR
Gaziantepspor,796642.21,168,1475.0,493,35574,1370.56,TUR
Sunderland,796009.63,169,14150.0,156,48707,1540.95,ENG
Rangers,793730.63,171,24092.6,108,50817,1616.23,SCO
QPR,774916.36,180,9245.0,196,18000,1474.15,ENG
Reading,770692.07,184,6807.5,231,24161,1427.35,ENG
Brann,766132.71,187,445.0,844,17686,1504.86,NOR
Hearts,753643.2,192,60.0,1644,20099,1408.16,SCO
Preston,742638.84,199,4615.0,284,23404,1480.2,ENG
CFR Cluj,741062.91,201,730.0,665,23500,1466.32,ROM
Hibernian,735007.6,206,5324.5,261,20421,1394.69,SCO
Hoffenheim,708966.06,213,52.5,1720,30164,1609.67,GER
Willem II,703354.79,219,10.0,2524,14637,1388.42,NED
Panionios,683724.73,229,1412.5,500,11115,1310.82,GRE
Kayserispor,681837.18,230,5956.0,248,32864,1345.02,TUR
Boavista,675365.83,234,7077.5,225,28263,1342.76,POR
Belenenses,672823.64,235,1340.0,510,19980,1398.61,POR
Rio Ave,670208.52,237,10655.0,184,12820,1465.51,POR
Hammarby,665846.32,238,745.0,657,33000,1481.57,SWE
Sivasspor,658045.49,243,6935.0,228,27532,1368.72,TUR
Konyaspor,653532.78,246,9252.5,195,41981,1371.4,TUR
Antalyaspor,642710.84,248,8362.5,206,32539,1370.76,TUR
Heracles,636858.55,251,5.0,2792,13500,1409.48,NED
Nacional,633430.7,252,4355.0,291,26500,1434.0,POR
Cercle Brugge,630633.59,257,7972.5,212,29022,1517.62,BEL
Millwall,628215.93,259,3900.0,306,20146,1478.17,ENG
Dundee United,627895.5,260,2080.0,424,14209,1305.95,SCO
Cracovia,623092.5,266,322.5,926,14572,1419.61,POL
Reggina,617275.11,272,2285.0,401,27713,1424.92,ITA
Wigan,606688.91,280,5872.5,250,25138,1418.15,ENG
Bursaspor,603756.73,282,2947.5,351,43877,1389.14,TUR
Jagiellonia,569077.7,304,537.5,780,22386,1492.65,POL
Bristol City,553984.59,313,4022.5,302,27699,1503.44,ENG
Gil Vicente,550877.86,316,5550.0,259,12504,1431.23,POR
Ternana,521967.53,328,1687.5,464,22000,1413.02,ITA
Hansa Rostock,511396.76,334,780.0,639,29000,1359.14,GER
Portsmouth,481288.28,348,845.0,609,20821,1442.55,ENG
LASK,449786.75,365,2222.5,408,7870,1410.9,AUT
Iraklis,448360.67,366,402.5,866,28028,1328.27,GRE
RB Leipzig,443288.23,367,123995.0,23,44345,1734.35,GER
Start,428530.81,371,90.0,1440,10000,1248.57,NOR
Leiria,401130.77,386,332.5,920,23850,1420.95,POR
Pandurii,400290.27,387,60.0,1644,9200,1336.03,ROM
Ross County,348951.72,421,2070.0,425,6310,1285.73,SCO
Triestina,316283.15,435,300.0,957,28565,1343.61,ITA
Kuban,314186.39,437,150.0,1225,31654,1518.02,RUS
Samsunspor,295461.34,451,5797.5,253,33919,1429.48,TUR
Ergotelis,291016.96,455,335.0,915,25780,1293.53,GRE
Holstein Kiel,276489.03,473,4120.0,299,10200,1514.99,GER
Portimonense,274362.37,477,5687.5,257,6204,1374.73,POR
GAIS,272551.57,478,10.0,2524,43200,1326.3,SWE
Go Ahead Eagles,226190.32,517,2757.5,367,10400,1518.8,NED
Manisaspor,205087.38,536,142.5,1253,16597,1374.94,TUR
Mantova,202681.16,539,295.0,966,14884,1397.85,ITA
Panthrakikos,193389.02,551,65.0,1603,3000,1252.29,GRE
Podbeskidzie,179639.33,560,95.0,1421,15076,1201.5,POL
Aves,171748.14,576,5.0,2792,5441,1290.46,POR
Pro Vercelli,164675.77,587,405.0,865,4200,1348.34,ITA
Farense,152048.32,594,3585.0,319,7000,1393.68,POR
Adanaspor,133748.63,620,902.5,595,16123,1345.04,TUR
FC Emmen,131810.35,622,795.0,629,8301,1358.73,NED
Radomiak,117970.29,644,1022.5,564,6000,1334.85,POL
Mordovia,108401.3,656,205.0,1096,44149,1466.13,RUS
Vizela,102409.86,669,2785.0,365,1500,1368.49,POR
Casa Pia,93338.36,685,2920.0,353,2574,1492.73,POR
Reggiana,83403.06,701,607.5,730,23717,1400.42,ITA
Orduspor,69025.55,718,2.5,3036,11024,1424.83,TUR
Sakaryaspor,65662.35,740,618.5,722,28154,1315.45,TUR
UCAM Murcia,37230.57,770,50.0,1729,13500,1494.67,ESP
Baltika,33897.05,805,3182.5,336,35212,1373.02,RUS
Thrasyvoulos,31839.35,834,10.0,2524,3142,1232.14,GRE
Port Vale,1378.04,886,750.0,652,19052,1378.04,ENG
