club,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A. Sebatspor,0.0,0.0,0.0,16427.07,34666.49,17978.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEK,19444.95,39681.05,40632.72,41156.51,39126.56,38014.58,38402.44,38711.23,39287.520000000004,38180.23,37076.37,36733.52,35783.45,18391.16,0.0,16113.14,34313.42,35987.2,38254.729999999996,37262.1,37794.82,35893.3,34598.49,36455.31,38126.54,7867.81
AIK,18556.17,36440.97,35836.32,34818.12,33625.96,1355.09,31834.22,33242.32,33713.12,33904.42,33371.35,32720.66,34147.35,35596.02,35449.1,35101.51,35497.08,35733.83,36912.590000000004,36649.1,35189.03,34186.18,35014.01,33067.840000000004,32774.48,7154.45
AVS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15291.77,6994.84
AZ Alkmaar,18035.93,34728.58,35671.5,36404.82,37792.83,40076.4,40831.72,41033.14,37379.36,39315.24,38737.94,39175.65,39062.6,36097.29,35823.03,36042.01,36919.5,36226.31,36732.06,37732.54,38990.61,39471.55,39884.26,39638.18,38091.59,8150.34
Aachen,17566.35,35188.25,35364.56,35792.93,35716.64,36434.05,37444.68,37003.49,36173.65,36745.46,36185.06,35765.89,18843.239999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aalborg,17600.37,35159.71,35057.53,33903.5,34473.159999999996,34221.2,34518.55,35693.4,37035.52,37111.78,35203.8,34375.56,33841.479999999996,33657.27,35087.78,34477.56,34522.25,32666.87,33136.49,32757.86,33727.4,34408.37,34275.55,18032.04,14863.22,6662.59
Aalen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17131.66,35262.56,34944.07,18516.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aalesund,0.0,0.0,0.0,31273.13,1351.51,31817.879999999997,1368.72,32104.34,32123.12,32077.15,32601.0,32408.59,32698.53,33197.23,32242.66,31868.190000000002,31273.1,31330.73,1270.48,0.0,29035.57,1140.27,30399.88,29707.53,1199.9,0.0
Aalst,15991.23,32374.67,16867.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
