club,elo_sum,rank
Barcelona,1163314.68,1
Real Madrid,1160179.2,2
Bayern Munich,1140765.34,3
Man United,1119351.14,4
Chelsea,1114090.14,5
Liverpool,1111031.43,6
Arsenal,1109666.85,7
Juventus,1098657.91,8
Man City,1089166.88,9
Ath Madrid,1086349.43,10
Inter,1069772.61,11
Valencia,1066866.11,12
Porto,1066076.01,13
Dortmund,1063536.22,14
Milan,1062244.9,15
Sevilla,1061468.36,16
Paris SG,1060507.84,17
Tottenham,1056423.54,18
Roma,1052014.92,19
Villarreal,1050894.55,20
Leverkusen,1049141.28,21
Lyon,1045083.3,22
Benfica,1036963.64,23
Ath Bilbao,1034797.28,24
Sociedad,1028061.59,25
Everton,1025266.27,26
PSV Eindhoven,1023737.72,27
Lazio,1023080.28,28
Ajax,1018915.96,29
Betis,1018649.41,30
Newcastle,1015026.36,31
Espanol,1009977.5,32
Schalke 04,1009734.96,33
Marseille,1009494.43,34
Werder Bremen,1007870.6,35
Lille,1007454.51,36
Celta,1007126.46,37
Sp Lisbon,1006092.31,38
Wolfsburg,1004413.51,39
Monaco,1002481.84,40
Olympiakos,999460.35,41
Aston Villa,996977.55,42
Stuttgart,995950.61,43
West Ham,994625.39,44
Osasuna,994065.52,45
Zenit,990404.91,46
Atalanta,987438.7,47
MGladbach,983873.39,48
Ein Frankfurt,979940.21,49
Valladolid,979697.47,50
Rennes,979424.55,51
Hertha,978430.8,52
Hamburg,977238.72,53
Levante,976805.94,54
CSKA Moskva,974903.8,55
Udinese,974073.64,56
Fenerbahce,973076.54,57
Fulham,971547.43,58
Galatasaray,970955.07,59
Zaragoza,968932.79,60
Mainz,968829.04,61
Anderlecht,967720.14,62
Celtic,966708.4,63
Freiburg,965471.41,64
Feyenoord,963813.29,65
Nice,963764.41,66
Club Brugge,963661.2,67
Fiorentina,959683.94,68
Bordeaux,956768.87,69
Getafe,956407.31,70
Besiktas,956069.21,71
Sp Braga,953029.68,72
Mallorca,952966.57,73
Torino,952784.79,74
Bologna,952457.01,75
Lok Moskva,952447.05,76
Salzburg,950706.03,77
St Etienne,950548.5,78
Spartak Moskva,950314.82,79
FC Koln,950242.14,80
Sampdoria,949470.04,81
West Brom,948190.35,82
Sp Gijon,946881.24,83
Malaga,946587.41,84
Lens,946082.68,85
Hannover,945822.17,86
Panathinaikos,944929.18,87
Montpellier,944850.06,88
Middlesbrough,942080.61,89
Nantes,942005.91,90
Crystal Palace,939863.7,91
AZ Alkmaar,938044.98,92
Napoli,937568.77,93
Cagliari,934395.66,94
FC Kobenhavn,932296.89,95
Lorient,929398.82,96
Auxerre,927731.56,97
Leicester,927167.41,98
Nurnberg,925779.43,99
Burnley,925363.35,100
Bochum,920639.39,101
Genk,920311.04,102
Empoli,919458.73,103
PAOK,916644.15,104
Standard,915676.17,105
Watford,915058.5,106
Trabzonspor,915052.4,107
Gent,911025.37,108
Steaua,910929.13,109
Wolves,906915.45,110
Rapid Wien,905968.16,111
Blackburn,905367.76,112
Rosenborg,904570.03,113
Caen,904182.0,114
Toulouse,901962.14,115
Genoa,898515.71,116
Greuther Furth,897765.95,117
Austria Wien,896868.18,118
Elche,896482.33,119
Utrecht,895703.67,120
Brescia,894389.3,121
Heerenveen,892964.42,122
Southampton,892631.44,123
Legia,888772.21,124
Sturm Graz,887800.78,125
Le Havre,886853.68,126
Birmingham,886309.72,127
Brondby,885355.61,128
Midtjylland,885138.07,129
Twente,881327.19,130
Norwich,881206.69,131
Metz,878086.05,132
Parma,876882.05,133
Ajaccio,876752.37,134
Dynamo Moskva,875185.95,135
Almeria,871458.74,136
Vitesse,866035.72,137
Guimaraes,865099.96,138
Las Palmas,863846.57,139
Troyes,863820.64,140
Guingamp,862723.76,141
La Coruna,857537.75,142
Sochaux,857077.32,143
Malmoe,856398.28,144
AEK,853289.15,145
Stoke,853116.99,146
Tenerife,852981.2,147
Rostov,845362.0,148
Dinamo Bucuresti,840464.4,149
Elfsborg,840424.93,150
Molde,838198.87,151
Goeteborg,835535.23,152
Maritimo,831124.7,153
Groningen,827763.84,154
Odense,827543.67,155
Leeds,825632.19,156
Djurgarden,823369.53,157
Charleroi,822947.03,158
AIK,821891.29,159
Derby,818402.69,160
Alaves,816671.95,161
Aalborg,816470.81,162
Vallecano,815328.17,163
Aberdeen,813475.57,164
Nancy,809360.28,165
Chievo,806011.95,166
Viking,805865.13,167
Gaziantepspor,796642.21,168
Sunderland,796009.63,169
Wisla,795629.52,170
Rangers,793730.63,171
Rubin Kazan,793314.31,172
Lillestrom,791918.8,173
Odd Grenland,790376.58,174
Cardiff,786786.72,175
Motherwell,783352.21,176
Lech,783059.43,177
Palermo,781292.26,178
Nottm Forest,776121.08,179
QPR,774916.36,180
Kaiserslautern,774474.24,181
Nordsjaelland,773092.15,182
Kryliya Sovetov,773062.35,183
Reading,770692.07,184
Numancia,768044.62,185
Verona,767156.98,186
Brann,766132.71,187
Clermont,764453.17,188
Eibar,763450.68,189
Reims,758873.75,190
Ipswich,757397.57,191
Hearts,753643.2,192
Valerenga,752760.02,193
Brest,752431.3,194
Kilmarnock,750047.09,195
St Pauli,747004.98,196
Tromso,746518.92,197
Angers,745709.62,198
Preston,742638.84,199
Karlsruhe,741342.88,200
CFR Cluj,741062.91,201
Bielefeld,740415.65,202
Pacos Ferreira,739760.21,203
Bari,739755.52,204
Albacete,736674.02,205
Hibernian,735007.6,206
Gornik,732833.77,207
Kalmar,724161.15,208
Aarhus,723749.06,209
Bastia,723646.13,210
Augsburg,713642.84,211
Genclerbirligi,709596.42,212
Hoffenheim,708966.06,213
Aris,707639.6,214
Lubin,707594.67,215
Santander,707379.4,216
Strasbourg,707256.98,217
St Truiden,705824.94,218
Willem II,703354.79,219
Lecce,702296.33,220
Sheffield United,698372.64,221
Union Berlin,693968.66,222
Ascoli,691413.51,223
Bolton,689793.39,224
Haecken,688095.14,225
Nijmegen,685049.25,226
Hull,684924.1,227
Stabaek,684570.02,228
Panionios,683724.73,229
Kayserispor,681837.18,230
Xanthi,681313.18,231
Dijon,679733.47,232
Valenciennes,676678.28,233
Boavista,675365.83,234
Belenenses,672823.64,235
Terek Grozny,671167.9,236
Rio Ave,670208.52,237
Hammarby,665846.32,238
Sheffield Weds,661429.63,239
Chateauroux,660816.62,240
